date,team,elo_pre
1872-11-30,Scotland,1600.0
1872-11-30,England,1600.0
1873-03-08,England,1600.0
1873-03-08,Scotland,1600.0
1874-03-07,Scotland,1570.0
1874-03-07,England,1630.0
1875-03-06,England,1594.8700792796915
1875-03-06,Scotland,1605.1299207203085
1876-03-04,Scotland,1604.2442722200417
1876-03-04,England,1595.7557277799583
1876-03-25,Scotland,1633.5114581794357
1876-03-25,Wales,1600.0
1877-03-03,England,1566.4885418205643
1877-03-03,Scotland,1660.6267864110453
1877-03-05,Wales,1572.8846717683905
1877-03-05,Scotland,1682.691482698816
1878-03-02,Scotland,1703.5135701191239
1878-03-02,England,1544.4238455327936
1878-03-23,Scotland,1720.6625094745368
1878-03-23,Wales,1552.0625843480825
1879-01-18,England,1527.2749061773807
1879-01-18,Wales,1535.5762017014188
1879-04-05,England,1557.9915612831398
1879-04-05,Scotland,1737.1488921212006
1879-04-07,Wales,1504.8595465956596
1879-04-07,Scotland,1692.9186758099104
1880-03-13,Scotland,1708.1000403002413
1880-03-13,England,1602.22177759443
1880-03-15,Wales,1489.6781821053287
1880-03-15,England,1581.0911665288872
1880-03-27,Scotland,1729.230651365784
1880-03-27,Wales,1467.3941815822045
1881-02-26,England,1603.3751670520112
1881-02-26,Wales,1456.5133962921213
1881-03-12,England,1561.3990348161237
1881-03-12,Scotland,1740.1114366558672
1881-03-14,Wales,1498.4895285280088
1881-03-14,Scotland,1755.9110126156497
1882-02-18,Northern Ireland,1600.0
1882-02-18,England,1545.5994588563412
1882-02-25,Wales,1487.380523457247
1882-02-25,Northern Ireland,1565.3406941644978
1882-03-11,Scotland,1767.0200176864116
1882-03-11,England,1580.2587646918435
1882-03-13,Wales,1524.0013972369345
1882-03-13,England,1564.992519835986
1882-03-25,Scotland,1782.286262542269
1882-03-25,Wales,1557.524523434018
1883-02-03,England,1531.4693936389026
1883-02-03,Wales,1544.6122345798883
1883-02-24,England,1562.60369675118
1883-02-24,Northern Ireland,1528.7198203848102
1883-03-10,England,1589.6871684299786
1883-03-10,Scotland,1795.1985513963987
1883-03-12,Wales,1513.477931467611
1883-03-12,Scotland,1809.2691438956194
1883-03-17,Northern Ireland,1501.6363487060116
1883-03-17,Wales,1504.2312407098143
1884-01-26,Northern Ireland,1501.8604055266746
1884-01-26,Scotland,1818.515834653416
1884-02-09,Wales,1504.0071838891513
1884-02-09,Northern Ireland,1493.5146205165815
1884-02-23,Northern Ireland,1464.4203459306007
1884-02-23,England,1575.6165759307578
1884-03-15,Scotland,1826.8616196635091
1884-03-15,England,1596.3300533192112
1884-03-17,Wales,1533.1014584751322
1884-03-17,England,1583.7511523256169
1884-03-29,Scotland,1839.4405206571034
1884-03-29,Wales,1507.444183862116
1885-02-28,England,1609.408426938633
1885-02-28,Northern Ireland,1443.7068685421473
1885-03-14,England,1626.0950414925912
1885-03-14,Wales,1499.712909744509
1885-03-14,Scotland,1847.1717947747104
1885-03-14,Northern Ireland,1427.020253988189
1885-03-21,England,1615.6394710719394
1885-03-21,Scotland,1852.0777730836069
1885-03-23,Wales,1510.1684801651609
1885-03-23,Scotland,1834.321972069836
1885-04-11,Northern Ireland,1422.1142756792926
1885-04-11,Wales,1502.128009389526
1885-11-28,USA,1600.0
1885-11-28,Canada,1600.0
1886-02-27,Wales,1525.3386750424802
1886-02-27,Northern Ireland,1398.9036100263384
1886-03-13,Northern Ireland,1379.363195686171
1886-03-13,England,1633.3952720857103
1886-03-20,Northern Ireland,1368.0764877010615
1886-03-20,Scotland,1842.362442845471
1886-03-27,Scotland,1846.0352904461156
1886-03-27,England,1644.6819800708197
1886-03-29,Wales,1544.8790893826476
1886-03-29,England,1660.3519412605363
1886-04-10,Scotland,1830.365329256399
1886-04-10,Wales,1524.4982167155722
1886-11-25,USA,1570.0
1886-11-25,Canada,1630.0
1887-02-05,England,1680.7328139276117
1887-02-05,Northern Ireland,1364.4036401004169
1887-02-19,Scotland,1839.1673958465828
1887-02-19,Northern Ireland,1356.044352119805
1887-02-26,England,1689.0921019082236
1887-02-26,Wales,1515.6961501253884
1887-03-12,Northern Ireland,1352.5430405654624
1887-03-12,Wales,1499.5378001198208
1887-03-19,England,1705.2504519137913
1887-03-19,Scotland,1842.6687074009253
1887-03-21,Wales,1457.5520161902618
1887-03-21,Scotland,1861.3853922035264
1888-02-04,England,1686.5337671111902
1888-02-04,Wales,1452.20590901698
1888-03-03,Wales,1439.8428889255567
1888-03-03,Northern Ireland,1394.5288244950214
1888-03-10,Scotland,1866.7314993768082
1888-03-10,Wales,1465.9521940078257
1888-03-17,Scotland,1872.1638407795278
1888-03-17,England,1698.8967872026135
1888-03-24,Northern Ireland,1368.4195194127524
1888-03-24,Scotland,1828.3309529121825
1888-04-07,Northern Ireland,1364.4507866097783
1888-04-07,England,1742.7296750699588
1888-09-19,Scotland,1832.2996857151566
1888-09-19,Canada,1594.8700792796915
1889-02-23,England,1748.8367662446635
1889-02-23,Wales,1460.519852605106
1889-03-02,England,1758.4250188533867
1889-03-02,Northern Ireland,1358.3436954350736
1889-03-09,Scotland,1844.4883666704825
1889-03-09,Northern Ireland,1352.8914708677162
1889-04-13,England,1763.8772434207442
1889-04-13,Scotland,1847.8322750690502
1889-04-15,Wales,1450.9315999963828
1889-04-15,Scotland,1870.7208923285623
1889-04-27,Northern Ireland,1349.5475624691485
1889-04-27,Wales,1476.016219695938
1890-02-08,Wales,1495.554086128999
1890-02-08,Northern Ireland,1330.0096960360875
1890-03-15,Northern Ireland,1313.3121809690278
1890-03-15,England,1740.988626161232
1890-03-15,Wales,1512.2516011960586
1890-03-15,England,1745.7029710101597
1890-03-22,Scotland,1845.6362726290072
1890-03-22,Wales,1499.838983235355
1890-03-29,Northern Ireland,1308.5978361201003
1890-03-29,Scotland,1852.8480719824572
1890-04-05,Scotland,1855.354159724232
1890-04-05,England,1758.1155889708632
1891-02-07,Northern Ireland,1306.0917483783255
1891-02-07,Wales,1492.627183881905
1891-03-07,England,1766.2992734563836
1891-03-07,Wales,1447.9082289586295
1891-03-07,England,1774.5735324339578
1891-03-07,Northern Ireland,1350.810703301601
1891-03-21,Wales,1439.6339699810553
1891-03-21,Scotland,1847.1704752387116
1891-03-28,Scotland,1852.4136793456535
1891-03-28,Northern Ireland,1345.9975621046628
1891-04-04,England,1779.386673630896
1891-04-04,Scotland,1855.498216318143
1892-02-27,Wales,1434.3907658741134
1892-02-27,Northern Ireland,1342.9130251321733
1892-03-05,Northern Ireland,1350.6342459800644
1892-03-05,England,1815.8555216679756
1892-03-05,Wales,1426.6695450262223
1892-03-05,England,1819.7124617300829
1892-03-19,Northern Ireland,1346.7773059179572
1892-03-19,Scotland,1819.0293682810634
1892-03-26,Scotland,1822.7427933623296
