match_id,date,team_a,team_b,team_a_goals,team_b_goals,team_a_elo_pre,team_b_elo_pre,team_a_goals_for_last_10,team_a_goals_against_last_10,team_b_goals_for_last_10,team_b_goals_against_last_10,team_a_points_per_game_last_10,team_b_points_per_game_last_10,team_a_matches_available,team_b_matches_available
1,1872-11-30,Scotland,England,0,0,1600.0,1600.0,1.35,1.35,1.35,1.35,1.5,1.5,0,0
2,1873-03-08,England,Scotland,4,2,1600.0,1600.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1
3,1874-03-07,Scotland,England,2,1,1570.0,1630.0,1.0,2.0,2.0,1.0,0.5,2.0,2,2
4,1875-03-06,England,Scotland,2,2,1594.87,1605.13,1.6667,1.3333,1.3333,1.6667,1.3333,1.3333,3,3
5,1876-03-04,Scotland,England,3,0,1604.24,1595.76,1.5,1.75,1.75,1.5,1.25,1.25,4,4
6,1876-03-25,Scotland,Wales,4,0,1633.51,1600.0,1.8,1.4,1.35,1.35,1.6,1.5,5,0
7,1877-03-03,England,Scotland,1,3,1566.49,1660.63,1.4,1.8,2.1667,1.1667,1.0,1.8333,5,6
8,1877-03-05,Wales,Scotland,0,2,1572.88,1682.69,0.0,4.0,2.2857,1.1429,0.0,2.0,1,7
9,1878-03-02,Scotland,England,7,2,1703.51,1544.42,2.25,1.0,1.3333,2.0,2.125,0.8333,8,6
10,1878-03-23,Scotland,Wales,9,0,1720.66,1552.06,2.7778,1.1111,0.0,3.0,2.2222,0.0,9,2
11,1879-01-18,England,Wales,2,1,1527.27,1535.58,1.4286,2.7143,0.0,5.0,0.7143,0.0,7,3
12,1879-04-05,England,Scotland,5,4,1557.99,1737.15,1.5,2.5,3.4,1.0,1.0,2.3,8,10
13,1879-04-07,Wales,Scotland,0,3,1504.86,1692.92,0.25,4.25,3.8,1.5,0.0,2.2,4,10
14,1880-03-13,Scotland,England,5,4,1708.1,1602.22,3.9,1.1,1.8889,2.6667,2.5,1.2222,10,9
15,1880-03-15,Wales,England,2,3,1489.68,1581.09,0.2,4.0,2.1,2.9,0.0,1.1,5,10
16,1880-03-27,Scotland,Wales,5,1,1729.23,1467.39,4.2,1.4,0.5,3.8333,2.5,0.0,10,6
17,1881-02-26,England,Wales,0,1,1603.38,1456.51,2.4,3.1,0.5714,4.0,1.3,0.0,10,7
18,1881-03-12,England,Scotland,1,6,1561.4,1740.11,2.0,3.0,4.5,1.3,1.0,2.7,10,10
19,1881-03-14,Wales,Scotland,1,5,1498.49,1755.91,0.625,3.5,4.8,1.4,0.375,2.7,8,10
20,1882-02-18,Northern Ireland,England,0,13,1600.0,1545.6,1.35,1.35,2.0,3.4,1.5,1.0,0,10
21,1882-02-25,Wales,Northern Ireland,7,1,1487.38,1565.34,0.6667,3.6667,0.0,13.0,0.3333,0.0,9,1
22,1882-03-11,Scotland,England,5,1,1767.02,1580.26,4.9,1.5,3.1,3.2,2.7,1.2,10,10
23,1882-03-13,Wales,England,5,3,1524.0,1564.99,1.3,3.4,3.2,3.4,0.6,1.2,10,10
24,1882-03-25,Scotland,Wales,5,0,1782.29,1557.52,5.1,1.5,1.8,3.3,2.7,0.9,10,10
25,1883-02-03,England,Wales,5,0,1531.47,1544.61,3.4,3.6,1.8,3.6,1.2,0.9,10,10
26,1883-02-24,England,Northern Ireland,7,0,1562.6,1528.72,3.7,2.9,0.5,10.0,1.5,0.0,10,2
27,1883-03-10,England,Scotland,2,3,1589.69,1795.2,4.2,2.8,5.4,1.5,1.5,2.7,10,10
28,1883-03-12,Wales,Scotland,0,3,1513.48,1809.27,1.8,3.2,5.0,1.5,0.9,2.7,10,10
29,1883-03-17,Northern Ireland,Wales,1,1,1501.64,1504.23,0.3333,9.0,1.7,3.3,0.0,0.9,3,10
30,1884-01-26,Northern Ireland,Scotland,0,5,1501.86,1818.52,0.5,7.0,4.4,1.5,0.25,2.7,4,10
31,1884-02-09,Wales,Northern Ireland,6,0,1504.01,1493.51,1.8,3.1,0.4,6.6,1.0,0.2,10,5
