team,elo,attack_rating,defense_rating,form_rating,squad_rating
Algeria,1680,0.92,1.05,0.95,0.90
Argentina,2070,1.15,0.88,1.05,1.10
Australia,1730,0.88,1.02,0.90,0.88
Austria,1800,0.95,1.00,0.96,0.92
Belgium,1940,1.08,0.95,0.98,1.05
Brazil,2050,1.12,0.90,1.02,1.08
Cameroon,1700,0.90,1.05,0.92,0.88
Canada,1760,0.88,1.00,0.95,0.88
Chile,1820,0.95,1.00,0.90,0.93
Colombia,1870,1.00,0.98,0.95,0.98
Costa Rica,1710,0.82,1.05,0.88,0.85
Croatia,1940,1.05,0.92,1.00,1.00
Denmark,1910,1.02,0.92,1.00,0.98
Ecuador,1760,0.88,1.02,0.92,0.88
Egypt,1700,0.85,1.05,0.90,0.85
England,1985,1.10,0.92,1.00,1.05
France,2020,1.18,0.85,1.08,1.12
Germany,1985,1.10,0.92,0.98,1.06
Ghana,1680,0.85,1.08,0.88,0.82
Iran,1720,0.80,1.05,0.88,0.82
Italy,1930,1.05,0.90,0.95,1.00
Japan,1820,0.95,0.98,1.00,0.92
Mexico,1840,0.95,1.00,0.92,0.93
Morocco,1870,1.00,0.90,1.02,0.95
Netherlands,1975,1.08,0.92,1.00,1.05
Nigeria,1720,0.90,1.05,0.90,0.88
Norway,1800,0.95,1.00,0.96,0.92
Panama,1650,0.78,1.10,0.88,0.80
Paraguay,1720,0.85,1.05,0.88,0.85
Peru,1780,0.90,1.02,0.90,0.88
Poland,1840,0.95,1.00,0.92,0.93
Portugal,2010,1.15,0.88,1.05,1.10
Qatar,1640,0.72,1.15,0.80,0.75
Saudi Arabia,1700,0.82,1.08,0.88,0.82
Senegal,1840,1.00,0.98,1.00,0.95
Serbia,1850,1.00,0.98,0.95,0.95
South Korea,1800,0.92,1.00,0.95,0.90
Spain,1975,1.08,0.90,0.98,1.04
Sweden,1850,0.98,0.95,0.98,0.95
Switzerland,1870,1.00,0.95,1.00,0.98
Tunisia,1680,0.85,1.08,0.88,0.83
Ukraine,1840,0.98,1.00,0.95,0.95
USA,1820,0.92,1.00,0.95,0.90
Wales,1800,0.95,1.00,0.95,0.92
Uruguay,1900,1.05,0.92,0.98,1.00
