team,alpha_attack,beta_defense,matches_used,as_of_date
Abkhazia,1.081522,0.922735,33,2022-11-20
Afghanistan,0.570415,2.16471,125,2022-11-20
Albania,1.129763,0.711009,362,2022-11-20
Alderney,0.735365,2.773225,135,2022-11-20
Algeria,1.904731,0.595143,568,2022-11-20
Ambazonia,1.0,1.0,6,2022-11-20
American Samoa,0.831319,1.835045,48,2022-11-20
Andalusia,1.0,1.0,13,2022-11-20
Andorra,0.536906,1.211609,194,2022-11-20
Angola,1.165842,0.909179,372,2022-11-20
Anguilla,0.138565,3.978458,70,2022-11-20
Antigua and Barbuda,0.473694,1.67401,210,2022-11-20
Arameans Suryoye,1.000115,1.000037,10,2022-11-20
Argentina,5.06421,0.1,1023,2022-11-20
Armenia,1.111813,1.553687,239,2022-11-20
Artsakh,1.105049,1.076451,11,2022-11-20
Aruba,0.892241,3.188726,130,2022-11-20
Australia,2.603735,0.355839,539,2022-11-20
Austria,1.939216,0.634078,822,2022-11-20
Azerbaijan,1.205448,0.74478,276,2022-11-20
Bahamas,0.312377,2.178441,48,2022-11-20
Bahrain,1.370683,0.99412,538,2022-11-20
Bangladesh,0.311292,2.190502,273,2022-11-20
Barawa,1.000337,1.239867,12,2022-11-20
Barbados,0.227318,3.388651,276,2022-11-20
Basque Country,1.313814,0.840108,62,2022-11-20
Belarus,0.968341,0.884764,280,2022-11-20
Belgium,3.521648,0.549345,812,2022-11-20
Belize,0.368956,1.504648,95,2022-11-20
Benin,0.80121,1.237319,291,2022-11-20
Bermuda,0.89567,1.499674,168,2022-11-20
Bhutan,0.720913,1.484781,91,2022-11-20
Bolivia,2.363286,0.705433,492,2022-11-20
Bonaire,0.828184,1.376344,25,2022-11-20
Bosnia and Herzegovina,1.362707,0.79526,250,2022-11-20
Botswana,0.612101,0.614971,302,2022-11-20
Brazil,6.829805,0.145936,1017,2022-11-20
British Virgin Islands,0.307496,3.938013,100,2022-11-20
Brittany,1.00001,0.999992,12,2022-11-20
Brunei,0.452898,4.280401,115,2022-11-20
Bulgaria,1.69654,0.879635,701,2022-11-20
Burkina Faso,1.436019,0.783499,418,2022-11-20
Burundi,0.834047,1.549362,194,2022-11-20
Cambodia,0.406352,3.927886,267,2022-11-20
Cameroon,1.438801,0.579961,576,2022-11-20
Canada,2.774289,0.417011,423,2022-11-20
Cape Verde,1.224674,0.777078,195,2022-11-20
Cascadia,1.197813,1.086375,7,2022-11-20
Catalonia,1.027665,0.985244,48,2022-11-20
Cayman Islands,0.272917,2.573211,99,2022-11-20
Central African Republic,0.710867,1.787065,113,2022-11-20
Chad,0.899332,2.338634,115,2022-11-20
Chagos Islands,0.986099,1.437499,16,2022-11-20
Chameria,1.104711,0.966525,5,2022-11-20
Chile,1.653414,0.527619,798,2022-11-20
China,1.340423,0.756684,669,2022-11-20
Colombia,4.198912,0.285936,596,2022-11-20
