team,alpha_attack,beta_defense,matches_used,as_of_date
Abkhazia,1.067239,0.935084,33,2022-11-20
Afghanistan,0.562882,2.19368,125,2022-11-20
Albania,1.114844,0.720524,362,2022-11-20
Alderney,0.725654,2.810339,135,2022-11-20
Algeria,1.879577,0.603108,568,2022-11-20
Ambazonia,0.986794,1.013383,6,2022-11-20
American Samoa,0.82034,1.859603,48,2022-11-20
Andalusia,0.986794,1.013383,13,2022-11-20
Andorra,0.529816,1.227824,194,2022-11-20
Angola,1.150446,0.921347,372,2022-11-20
Anguilla,0.136735,4.031701,70,2022-11-20
Antigua and Barbuda,0.467438,1.696413,210,2022-11-20
Arameans Suryoye,0.986907,1.01342,10,2022-11-20
Argentina,4.997331,0.101338,1023,2022-11-20
Armenia,1.097131,1.57448,239,2022-11-20
Artsakh,1.090456,1.090857,11,2022-11-20
Aruba,0.880458,3.231401,130,2022-11-20
Australia,2.56935,0.360601,539,2022-11-20
Austria,1.913606,0.642564,822,2022-11-20
Azerbaijan,1.189528,0.754748,276,2022-11-20
Bahamas,0.308251,2.207595,48,2022-11-20
Bahrain,1.352581,1.007424,538,2022-11-20
Bangladesh,0.307181,2.219817,273,2022-11-20
Barawa,0.987126,1.25646,12,2022-11-20
Barbados,0.224316,3.434001,276,2022-11-20
Basque Country,1.296464,0.851351,62,2022-11-20
Belarus,0.955553,0.896605,280,2022-11-20
Belgium,3.47514,0.556697,812,2022-11-20
Belize,0.364084,1.524785,95,2022-11-20
Benin,0.790629,1.253878,291,2022-11-20
Bermuda,0.883841,1.519744,168,2022-11-20
Bhutan,0.711392,1.504652,91,2022-11-20
Bolivia,2.332076,0.714873,492,2022-11-20
Bonaire,0.817247,1.394764,25,2022-11-20
Bosnia and Herzegovina,1.344711,0.805903,250,2022-11-20
Botswana,0.604018,0.623201,302,2022-11-20
Brazil,6.739609,0.147889,1017,2022-11-20
British Virgin Islands,0.303435,3.990715,100,2022-11-20
Brittany,0.986803,1.013375,12,2022-11-20
Brunei,0.446917,4.337685,115,2022-11-20
Bulgaria,1.674135,0.891407,701,2022-11-20
Burkina Faso,1.417055,0.793984,418,2022-11-20
Burundi,0.823032,1.570097,194,2022-11-20
Cambodia,0.400986,3.980453,267,2022-11-20
Cameroon,1.4198,0.587722,576,2022-11-20
Canada,2.737651,0.422592,423,2022-11-20
Cape Verde,1.208501,0.787478,195,2022-11-20
Cascadia,1.181995,1.100914,7,2022-11-20
Catalonia,1.014093,0.998429,48,2022-11-20
